listing_id,listing_type,room_type,latitude,longitude,guests,bedrooms,superhost,num_reviews,rating_overall,ttm_revenue_native,ttm_avg_rate_native,ttm_occupancy,ttm_reserved_days,ttm_revpar_native,currency
11607056,Entire rental unit,entire_home,64.1327,-21.9075,6.0,3.0,True,30,4.93,3869295.0,45706.6,0.238,87,10600.8,ISK
11629742,Entire cabin,entire_home,64.4216,-21.6672,6.0,3.0,False,53,4.85,5016041.0,40977.2,0.274,100,11546.2,ISK
11694015,Entire rental unit,entire_home,64.149,-21.9549,3.0,3.0,False,88,4.84,2738154.0,26361.5,0.293,107,7411.1,ISK
11769657,Entire rental unit,entire_home,64.15,-21.8836,2.0,1.0,False,7,5.0,1930346.0,40732.3,0.129,47,5225.9,ISK
11864716,Entire rental unit,entire_home,64.1452,-21.9529,4.0,2.0,False,98,4.77,433283.0,19313.8,0.063,23,1187.1,ISK
11968633,Entire rental unit,entire_home,64.1444,-21.9178,6.0,2.0,True,360,4.94,8301936.0,39979.9,0.526,192,21163.7,ISK
11987744,Private room in casa particular,private_room,64.1236,-21.8587,,,False,36,4.94,533933.0,11710.4,0.132,48,1462.8,ISK
12017075,Entire rental unit,entire_home,64.132,-21.914,4.0,3.0,False,28,4.71,1116741.0,61815.5,0.123,45,3002.4,ISK
12071035,Entire rental unit,entire_home,64.1363,-21.8951,3.0,1.0,False,20,5.0,3272935.0,22178.9,0.386,141,8688.0,ISK
12154067,Entire rental unit,entire_home,64.1228,-21.8208,5.0,2.0,False,59,4.93,529990.0,21018.8,0.068,25,1399.7,ISK
12157361,Entire home,entire_home,64.1441,-21.9319,2.0,,False,430,4.51,4454167.0,16964.1,0.718,262,12203.2,ISK
12180192,Entire rental unit,entire_home,64.1453,-21.9365,16.0,5.0,False,64,4.73,55347545.0,277475.3,0.471,172,148123.0,ISK
12199470,Entire home,entire_home,64.1447,-21.9271,5.0,2.0,True,558,4.88,11197609.0,32428.7,0.893,326,28994.6,ISK
12282881,Entire home,entire_home,64.1445,-21.9254,4.0,2.0,True,452,4.84,7965613.0,28360.8,0.715,261,20286.2,ISK
12282977,Entire home,entire_home,64.1444,-21.9248,5.0,2.0,True,454,4.88,10337018.0,30312.8,0.879,321,26758.8,ISK
12492845,Entire townhouse,entire_home,64.0959,-21.7775,8.0,4.0,True,144,4.99,18894620.0,99088.6,0.482,176,48636.8,ISK
12518584,Private room in rental unit,private_room,64.1406,-21.9252,,,True,530,4.83,3756140.0,11827.9,0.792,289,9433.3,ISK
12519229,Private room in rental unit,private_room,64.1418,-21.9234,,,True,568,4.83,3449533.0,11798.0,0.726,265,8697.8,ISK
12519335,Private room in rental unit,private_room,64.1397,-21.9234,,,True,596,4.82,3935183.0,12351.1,0.784,286,9861.1,ISK
12520750,Private room in rental unit,private_room,64.1463,-21.9356,4.0,1.0,False,12,3.42,1837578.0,40608.8,0.121,44,4858.8,ISK
12526172,Entire rental unit,entire_home,64.144,-21.9034,4.0,2.0,True,424,4.92,5950146.0,34292.3,0.449,164,13592.9,ISK
12533607,Private room in rental unit,private_room,64.1463,-21.9356,4.0,1.0,False,17,4.82,2437895.0,43130.7,0.142,52,6489.5,ISK
12595660,Entire home,entire_home,64.1356,-21.7761,6.0,4.0,False,17,5.0,855752.0,70772.4,0.033,12,2344.5,ISK
12605925,Private room in rental unit,private_room,64.1447,-21.7927,,3.0,False,226,4.77,1434780.0,11933.1,0.337,123,3930.9,ISK
12606698,Private room in rental unit,private_room,64.1464,-21.7908,,,False,137,4.91,1065377.0,9870.3,0.296,108,2873.5,ISK
12678629,Entire rental unit,entire_home,64.1339,-21.8868,2.0,1.0,False,8,5.0,412927.0,20247.5,0.058,21,1111.1,ISK
12697780,Entire home,entire_home,64.144,-21.8627,7.0,4.0,True,164,4.93,11432043.0,47877.7,0.636,232,30432.4,ISK
